,Score,Text
0,4,star wars the last jedi delivers something that i can be proud of experiencing rian johnson takes a lot of risks with decisions that will make the fanbase debate for years and while i find most of them truly jaw-dropping a few left me underwhelmed
1,4,the last jedi has some early pacing issues and a few things that simply dont make sense but its still a fantastic star wars experience filled with excitement emotion and nostalgia
2,3,johnsons film supplies the requisite spectacle that casual fans expect while devoted enthusiasts have new complex ideas to consider for the franchises future
3,5,star wars the last jedi was everything i hoped for and more
4,5,rian johnson has given us a star wars film that actually is a genuine evolution of the series in style narrative and emotion
5,5,as much into de-mythologizing the force as it is relishing in its fantastic fight choreography and intergalactic dogfights
6,4,not all its risks pay off but its biggest wins outdo anything in the previous film for fans there are many many moments that will leave you cheering or weeping possibly both at once
7,4,the last jedi doesnt entirely detach from the mythological themes and fantasy tropes lucas movies played with but it feels like the start of a brave new world
8,3,much of this picture involves space battles which while exciting in the moment has very little lasting power
9,4,a film that will make you want to watch it again and again and again
10,4,the star wars universe is vast with so many potential stories to tell the last jedi met my expectations because it was an attempt for the franchise to do something different that most blockbuster films struggle with
11,3,in terms of directing the last jedi shines in terms of storytelling it meshes together a lot of elements that have so much potential but that potential is left untapped
12,4,the last jedi attempts to use the past merely as a stepping-stone to build its own identity
13,4,its aesthetics adds a different proposal to the star wars formula in which it balances pompous action and moving moments very well with self-reference and humor full review in spanish
14,4,overall this is a profoundly satisfying episode without apparent weak spots its a notch disjointed but nothing unbearable youll laugh cry and be in awe
15,4,most fans will enjoy the last jedi but it wont be for everyone while well crafted the current batch of main storyline sw films feel a little hollow
16,5,johnson unleashed one of the most spectacular visual feats within the star wars universe
17,4,its heart is in the right place more so than any of the other sequel films but the conviction is lacking
18,5,the last jedi is not only a fantastic film but one of the best star wars films
19,4,lovers of star wars are incredibly lucky to have johnson at the helm who is clearly a super-fan of the saga
20,5,i loved the last jedi i loved its willingness to go to places that will surely anger legions of fans i loved that it deepened the charismatic archetypes by exploring their hurts and haunts with deftness and humour
21,5,brilliantly mesmerizing with a dazzling use of color the action sequences are perhaps the best theyve ever been and the comedy in the film made a guy who generally rolls his eyes at everything laugh like a fool for two and a half hours straight
22,5,a superb addition to the skywalker saga which is sure to leave fans with plenty to talk and argue about star wars the last jedi now stands proudly alongside the empire strikes back as one of the greatest sci-fi movies of all-time
23,5,the last jedi is easily the most consistently exciting film in the series
24,4,its a bold and challenging work  exactly what we would expect from the auteur of brick and looper
25,4,the last jedi runs like such a well oiled machine that its forgivable sputters and false starts stick out more than they might in a lesser film
26,5,the last jedi simultaneously condemns the notion of importance by virtue of birthright and elevates the power and responsibility inherent in the masses
27,3,a lengthy list of missed opportunities and puzzling decisions
28,4,a world where women can be strong without the help of men where princesses can become generals and girls who come from nothing on a backwater planet can rise to become the hope of the galaxy
29,5,it is the best kind of entry into a franchise that takes unexpected risks keeps you on the edge of your seat and is emotionally moving in a way that will be leave fans stunned
30,5,lets not mince words this will be remembered as one of the best science fictionfantasy movies of all time and this backlash simply must stop because thats no way to treat a near-masterpiece
31,4,unnecessary the longest star wars film to date but has some of the most epic ground-breaking moments in the franchise
32,2,a lot of the films ideas i like in theory but it was not executed well the more i thought about it the less i liked it
33,4,star wars the last jedi is a complete shift for the star wars saga and a brave reinvention of the jedi mythos full review in spanish
34,4,its great to have a filmmaker who evidently has been a fan of the franchise since he was a kid but still also an outsider who dared to take the 40-year-old saga into unexpected paths
35,5,its a visually stunning movie finding moments both macro and micro to highlight the beautiful imagination that star wars can evoke
36,5,i should say that star wars the last jedi is the best star wars film we have to date by default this film is a natural progression of the star wars films because it incorporates all the good things we loved about the previous star wars films
37,4,an enthralling and gripping piece of cinema thats both sublimely moving and visually beautiful the last jedi while flawed is ultimately a breath of fresh air
38,4,rian johnson captured the tonal spirit of the preceding episodes and elevated it through bold and fresh ideas
39,4,the film starts off great and ends great but sags in the middle still well worth your while going to see as it gives a good send off to a beloved character
40,5,the last jedi is disneys best contribution to the star wars canon so far and we can only hope that the final film of this trilogy will live up to the new standard
41,5,the last jedi is certainly an adventure that will pull you this way and throw you that way but never ceases to be anything but star wars
42,4,the last jedi is a powerful emotional and ambitious film that makes for one of the best films in the series
43,5,the film examines a questioning of ideals held throughout the ages a deconstruction of what we know and hold dear
44,4,director rian johnson takes some major risks here some of them work well while other choices contribute to the films uneven tone
45,5,it might not be what i wanted it to be but i cant deny i was entertained
46,4,if the force awakens was an exercise in nostalgia the last jedi is an experiment of expectancy it pushes the boundaries of its characters its audience and the franchises capacity
47,2,a problem that carries over from the force awakens and becomes more evident here is the sense that the villains and villainy in general have been weakly determined
48,4,like bantha fodder riddled with kyber crystals the last jedi is a jumble of really good and kinda bad
49,5,a glorious cinematic tour-de-force a sci-fi gift that never stops giving a real achievement
50,5,the film breaks many franchise traditions on all levels but it does so with a lot of respect and with the ambition to build something new and exciting from what remains
